dstport,protocol,tag
130,iso-tp4,sv_P156
133,ggp,sv_P469
132,cbt,sv_P89
125,trunk-1,sv_P756
64,chaos,sv_P530
83,emcon,sv_P844
27,udp,sv_P750
57,netblt,sv_P72
18,iso-tp4,sv_P61
129,argus,sv_P569
104,hmp,sv_P339
91,mfe-nsp,sv_P343
146,xnet,sv_P357
125,st,sv_P634
24,ggp,sv_P68
11,icmp,sv_P679
109,ggp,sv_P744
18,tcp,sv_P207
128,emcon,sv_P757
30,udp,sv_P108
11,argus,sv_P291
134,hmp,sv_P376
144,ggp,sv_P868
1,mux,sv_P208
68,dcn-meas,sv_P926
43,cbt,sv_P362
73,egp,sv_P608
98,udp,sv_P739
123,ggp,sv_P419
120,st,sv_P398
114,nvp-II,sv_P932
104,udp,sv_P437
39,igp,sv_P71
140,icmp,sv_P939
61,iso-tp4,sv_P643
37,egp,sv_P158
106,leaf-2,sv_P133
135,hmp,sv_P612
28,hmp,sv_P501
87,icmp,sv_P762
28,nvp-II,sv_P645
27,argus,sv_P318
11,tcp,sv_P240
77,xnet,sv_P819
129,ggp,sv_P929
67,tcp,sv_P583
8,dcn-meas,sv_P438
15,udp,sv_P138
17,udp,sv_P444
146,egp,sv_P93
35,tcp,sv_P210
138,ggp,sv_P295
114,st,sv_P195
69,igp,sv_P423
35,prm,sv_P284
60,egp,sv_P562
57,prm,sv_P527
141,leaf-2,sv_P732
96,mfe-nsp,sv_P856
61,netblt,sv_P253
7,irtp,sv_P729
4,emcon,sv_P777
16,st,sv_P501
3,pup,sv_P402
146,emcon,sv_P581
80,tcp,sv_P50
48,st,sv_P574
17,ggp,sv_P36
75,netblt,sv_P78
94,irtp,sv_P508
127,igp,sv_P839
66,dcn-meas,sv_P280
25,chaos,sv_P969
72,ggp,sv_P85
126,xns-idp,sv_P220
140,irtp,sv_P798
102,dcn-meas,sv_P962
39,trunk-2,sv_P39
138,ipv4,sv_P5
15,mfe-nsp,sv_P811
54,tcp,sv_P760
31,emcon,sv_P130
125,xns-idp,sv_P207
115,icmp,sv_P960
114,cbt,sv_P103
83,dcn-meas,sv_P706
107,hmp,sv_P187
138,rdp,sv_P461
42,chaos,sv_P778
54,netblt,sv_P818
63,xnet,sv_P781
118,icmp,sv_P21
41,prm,sv_P99
90,dcn-meas,sv_P464
92,egp,sv_P788
24,tcp,sv_P453
37,trunk-1,sv_P583
27,leaf-2,sv_P157
55,emcon,sv_P669
110,st,sv_P286
29,udp,sv_P217
123,leaf-1,sv_P425
90,xns-idp,sv_P166
70,mfe-nsp,sv_P500
141,iso-tp4,sv_P907
40,st,sv_P147
112,hmp,sv_P444
33,xnet,sv_P966
104,egp,sv_P328
5,xnet,sv_P587
19,ggp,sv_P49
82,pup,sv_P272
127,argus,sv_P96
71,mfe-nsp,sv_P374
32,icmp,sv_P774
4,xns-idp,sv_P836
50,irtp,sv_P280
132,chaos,sv_P499
72,mfe-nsp,sv_P51
66,cbt,sv_P315
125,rdp,sv_P123
83,egp,sv_P211
33,dcn-meas,sv_P297
11,pup,sv_P154
121,mux,sv_P616
138,mfe-nsp,sv_P183
142,cbt,sv_P536
95,tcp,sv_P926
98,iso-tp4,sv_P579
62,rdp,sv_P635
6,xnet,sv_P617
127,trunk-1,sv_P516
93,trunk-2,sv_P229
66,xns-idp,sv_P173
70,cbt,sv_P255
64,emcon,sv_P905
4,leaf-1,sv_P738
36,mux,sv_P973
80,argus,sv_P890
31,trunk-1,sv_P357
101,argus,sv_P444
128,bbn-rcc-mon,sv_P650
120,prm,sv_P287
80,rdp,sv_P244
83,trunk-1,sv_P258
80,netblt,sv_P658
34,iso-tp4,sv_P41
122,emcon,sv_P455
89,netblt,sv_P184
126,cbt,sv_P914
30,leaf-1,sv_P295
122,bbn-rcc-mon,sv_P144
73,chaos,sv_P597
34,chaos,sv_P311
107,igmp,sv_P91
6,igmp,sv_P508
84,mux,sv_P791
107,nvp-II,sv_P823
107,udp,sv_P948
94,bbn-rcc-mon,sv_P18
1,hmp,sv_P449
15,igp,sv_P135
24,tcp,sv_P893
79,st,sv_P258
123,iso-tp4,sv_P281
23,ggp,sv_P157
51,irtp,sv_P493
62,ipv4,sv_P304
106,mfe-nsp,sv_P814
102,pup,sv_P960
132,tcp,sv_P559
63,igmp,sv_P327
14,xns-idp,sv_P193
49,bbn-rcc-mon,sv_P561
89,igmp,sv_P244
17,icmp,sv_P792
101,tcp,sv_P524
6,leaf-1,sv_P855
59,bbn-rcc-mon,sv_P482
72,cbt,sv_P478
19,prm,sv_P332
105,mux,sv_P164
114,egp,sv_P232
35,ggp,sv_P769
131,udp,sv_P483
5,emcon,sv_P519
70,mfe-nsp,sv_P609
79,rdp,sv_P54
136,icmp,sv_P577
72,argus,sv_P702
7,udp,sv_P680
130,netblt,sv_P662
146,pup,sv_P191
109,mfe-nsp,sv_P138
76,leaf-2,sv_P876
111,mux,sv_P468
7,bbn-rcc-mon,sv_P377
43,ipv4,sv_P693
28,emcon,sv_P511
111,chaos,sv_P874
143,ggp,sv_P296
54,tcp,sv_P817
11,mux,sv_P456
26,hmp,sv_P456
122,cbt,sv_P250
53,xnet,sv_P107
17,chaos,sv_P216
136,xns-idp,sv_P385
80,mfe-nsp,sv_P314
111,igp,sv_P551
111,tcp,sv_P590
115,st,sv_P390
125,ggp,sv_P750
92,xns-idp,sv_P901
65,xnet,sv_P65
107,dcn-meas,sv_P190
32,ipv4,sv_P837
129,emcon,sv_P450
76,udp,sv_P695
63,bbn-rcc-mon,sv_P681
15,tcp,sv_P460
46,iso-tp4,sv_P211
103,dcn-meas,sv_P449
120,emcon,sv_P151
124,ggp,sv_P865
64,nvp-II,sv_P459
98,iso-tp4,sv_P592
90,igmp,sv_P623
147,udp,sv_P848
96,st,sv_P335
89,xnet,sv_P836
110,ipv4,sv_P234
37,trunk-1,sv_P342
106,trunk-2,sv_P887
58,argus,sv_P377
87,icmp,sv_P414
86,cbt,sv_P330
121,pup,sv_P764
113,igmp,sv_P252
112,leaf-1,sv_P808
10,prm,sv_P821
66,udp,sv_P641
35,mfe-nsp,sv_P507
85,hmp,sv_P241
35,dcn-meas,sv_P260
66,mux,sv_P961
71,irtp,sv_P437
26,leaf-1,sv_P142
77,udp,sv_P110
98,icmp,sv_P171
70,ggp,sv_P740
36,emcon,sv_P73
119,xnet,sv_P702
6,trunk-2,sv_P221
31,xns-idp,sv_P990
92,argus,sv_P893
114,egp,sv_P490
94,mux,sv_P274
3,argus,sv_P383
27,ipv4,sv_P869
135,icmp,sv_P574
140,leaf-1,sv_P460
118,xns-idp,sv_P41
11,igp,sv_P470
145,ipv4,sv_P480
94,prm,sv_P247
83,netblt,sv_P420
57,leaf-1,sv_P824
100,igmp,sv_P188
9,trunk-2,sv_P353
107,icmp,sv_P138
1,xns-idp,sv_P117
41,egp,sv_P648
11,mfe-nsp,sv_P470
69,netblt,sv_P978
69,emcon,sv_P849
2,udp,sv_P196
123,igmp,sv_P161
129,icmp,sv_P399
142,pup,sv_P890
29,tcp,sv_P873
53,argus,sv_P770
87,egp,sv_P47
141,nvp-II,sv_P760
6,udp,sv_P653
40,hmp,sv_P240
104,emcon,sv_P821
86,xns-idp,sv_P795
74,tcp,sv_P514
65,st,sv_P560
68,netblt,sv_P778
81,st,sv_P650
86,tcp,sv_P277
80,icmp,sv_P930
95,leaf-2,sv_P964
124,bbn-rcc-mon,sv_P37
45,trunk-1,sv_P34
129,tcp,sv_P982
119,cbt,sv_P780
144,mux,sv_P545
142,cbt,sv_P281
56,udp,sv_P284
132,tcp,sv_P163
2,rdp,sv_P687
72,ggp,sv_P94
6,trunk-2,sv_P741
112,chaos,sv_P923
139,bbn-rcc-mon,sv_P676
141,hmp,sv_P356
144,udp,sv_P834
128,trunk-2,sv_P781
147,tcp,sv_P706
121,ipv4,sv_P981
136,udp,sv_P844
7,hmp,sv_P385
74,emcon,sv_P871
13,trunk-2,sv_P118
96,leaf-1,sv_P122
23,ipv4,sv_P653
13,chaos,sv_P818
65,trunk-2,sv_P129
90,mux,sv_P307
106,chaos,sv_P852
65,xns-idp,sv_P663
142,mfe-nsp,sv_P461
128,udp,sv_P982
83,nvp-II,sv_P936
108,pup,sv_P123
16,leaf-2,sv_P108
34,trunk-1,sv_P344
95,nvp-II,sv_P533
99,ggp,sv_P958
20,icmp,sv_P54
9,irtp,sv_P726
14,tcp,sv_P210
40,iso-tp4,sv_P368
35,igmp,sv_P203
111,prm,sv_P785
137,igmp,sv_P901
96,nvp-II,sv_P444
73,mux,sv_P131
90,ggp,sv_P811
136,hmp,sv_P798
82,ipv4,sv_P328
67,iso-tp4,sv_P818
51,irtp,sv_P154
69,emcon,sv_P600
7,leaf-2,sv_P890
81,tcp,sv_P832
48,trunk-1,sv_P275
84,cbt,sv_P730
129,st,sv_P510
54,dcn-meas,sv_P877
115,mfe-nsp,sv_P405
62,icmp,sv_P939
114,st,sv_P336
88,dcn-meas,sv_P243
56,irtp,sv_P456
81,nvp-II,sv_P436
121,ipv4,sv_P9
16,nvp-II,sv_P793
125,dcn-meas,sv_P600
139,udp,sv_P580
35,st,sv_P753
98,emcon,sv_P607
141,netblt,sv_P281
134,irtp,sv_P317
113,trunk-2,sv_P517
101,trunk-2,sv_P675
123,igmp,sv_P175
40,pup,sv_P940
68,prm,sv_P621
99,st,sv_P816
135,icmp,sv_P640
137,udp,sv_P972
4,egp,sv_P644
80,tcp,sv_P718
130,udp,sv_P787
19,trunk-1,sv_P872
45,bbn-rcc-mon,sv_P236
60,mux,sv_P306
108,iso-tp4,sv_P574
59,egp,sv_P999
146,leaf-2,sv_P746
56,icmp,sv_P683
108,tcp,sv_P543
110,emcon,sv_P866
142,tcp,sv_P342
137,trunk-2,sv_P484
135,iso-tp4,sv_P601
114,tcp,sv_P503
99,tcp,sv_P655
26,icmp,sv_P351
38,icmp,sv_P42
103,igp,sv_P811
0,tcp,sv_P273
35,igmp,sv_P430
126,netblt,sv_P295
76,udp,sv_P985
137,pup,sv_P574
2,xnet,sv_P948
33,st,sv_P263
131,prm,sv_P85
83,leaf-2,sv_P32
141,tcp,sv_P988
80,mfe-nsp,sv_P877
41,xns-idp,sv_P125
120,bbn-rcc-mon,sv_P44
4,irtp,sv_P154
46,irtp,sv_P582
143,tcp,sv_P54
11,xnet,sv_P221
54,netblt,sv_P433
81,icmp,sv_P765
46,leaf-2,sv_P536
30,dcn-meas,sv_P763
28,rdp,sv_P537
55,pup,sv_P335
78,icmp,sv_P512
87,tcp,sv_P956
139,mux,sv_P670
75,st,sv_P49
98,emcon,sv_P268
122,ggp,sv_P463
9,nvp-II,sv_P592
1,xnet,sv_P459
45,mfe-nsp,sv_P584
92,hmp,sv_P25
19,dcn-meas,sv_P20
125,chaos,sv_P390
83,xns-idp,sv_P411
16,udp,sv_P384
92,egp,sv_P620
121,tcp,sv_P380
18,st,sv_P383
75,udp,sv_P522
25,trunk-1,sv_P944
10,igmp,sv_P460
121,egp,sv_P197
59,irtp,sv_P233
115,udp,sv_P237
60,ipv4,sv_P742
28,irtp,sv_P182
38,igmp,sv_P651
58,cbt,sv_P844
42,igmp,sv_P679
14,pup,sv_P238
59,rdp,sv_P447
97,irtp,sv_P843
120,trunk-2,sv_P271
88,igp,sv_P450
26,argus,sv_P37
14,xns-idp,sv_P407
128,igp,sv_P952
15,iso-tp4,sv_P773
123,trunk-2,sv_P985
59,prm,sv_P475
112,argus,sv_P67
102,netblt,sv_P791
139,bbn-rcc-mon,sv_P764
121,iso-tp4,sv_P727
117,tcp,sv_P692
32,ipv4,sv_P370
64,icmp,sv_P20
84,egp,sv_P849
31,pup,sv_P966
128,mfe-nsp,sv_P914
57,prm,sv_P164
17,st,sv_P916
19,emcon,sv_P334
81,iso-tp4,sv_P500
100,dcn-meas,sv_P172
117,igp,sv_P480
10,ggp,sv_P921
18,nvp-II,sv_P35
64,dcn-meas,sv_P220
34,nvp-II,sv_P767
31,udp,sv_P559
139,emcon,sv_P431
133,argus,sv_P798
82,igmp,sv_P165
111,pup,sv_P565
93,mux,sv_P241
2,dcn-meas,sv_P299
35,udp,sv_P242
120,leaf-2,sv_P631
78,argus,sv_P904
104,hmp,sv_P153
126,tcp,sv_P585
94,leaf-1,sv_P667
103,bbn-rcc-mon,sv_P172
69,leaf-2,sv_P382
63,egp,sv_P481
91,nvp-II,sv_P317
21,icmp,sv_P838
131,emcon,sv_P563
79,iso-tp4,sv_P694
144,dcn-meas,sv_P510
144,tcp,sv_P400
4,ggp,sv_P761
118,rdp,sv_P337
140,argus,sv_P406
96,tcp,sv_P797
68,netblt,sv_P455
87,irtp,sv_P586
25,leaf-2,sv_P410
137,nvp-II,sv_P966
40,pup,sv_P971
114,mux,sv_P379
63,cbt,sv_P364
141,irtp,sv_P9
88,rdp,sv_P430
33,tcp,sv_P677
59,igp,sv_P746
120,ipv4,sv_P747
35,netblt,sv_P184
11,st,sv_P791
92,netblt,sv_P323
39,chaos,sv_P65
144,emcon,sv_P472
73,mfe-nsp,sv_P295
52,rdp,sv_P294
145,irtp,sv_P887
30,st,sv_P936
99,cbt,sv_P896
16,leaf-1,sv_P615
50,udp,sv_P160
58,leaf-1,sv_P422
62,argus,sv_P968
26,dcn-meas,sv_P718
84,udp,sv_P752
119,argus,sv_P406
130,cbt,sv_P146
23,st,sv_P517
127,xnet,sv_P639
123,netblt,sv_P855
123,pup,sv_P572
35,st,sv_P982
21,netblt,sv_P478
58,iso-tp4,sv_P957
145,trunk-2,sv_P807
78,udp,sv_P241
118,iso-tp4,sv_P657
25,mfe-nsp,sv_P129
136,trunk-2,sv_P105
57,ggp,sv_P432
25,rdp,sv_P658
118,hmp,sv_P710
40,ipv4,sv_P864
109,mfe-nsp,sv_P676
55,icmp,sv_P926
129,mux,sv_P179
86,leaf-2,sv_P778
144,udp,sv_P798
139,rdp,sv_P340
69,leaf-2,sv_P228
112,st,sv_P473
99,argus,sv_P824
27,leaf-1,sv_P630
134,pup,sv_P769
91,dcn-meas,sv_P684
24,netblt,sv_P854
105,mux,sv_P203
21,igmp,sv_P705
96,bbn-rcc-mon,sv_P806
13,pup,sv_P468
88,mfe-nsp,sv_P814
16,prm,sv_P33
54,dcn-meas,sv_P105
78,emcon,sv_P741
72,tcp,sv_P277
9,dcn-meas,sv_P284
91,xns-idp,sv_P649
57,st,sv_P792
76,trunk-1,sv_P326
146,hmp,sv_P425
104,leaf-2,sv_P328
127,nvp-II,sv_P308
84,ggp,sv_P486
62,st,sv_P138
115,trunk-1,sv_P867
58,trunk-2,sv_P813
30,tcp,sv_P769
19,mux,sv_P679
11,iso-tp4,sv_P700
74,egp,sv_P784
6,udp,sv_P951
31,xnet,sv_P113
87,chaos,sv_P498
116,irtp,sv_P255
102,nvp-II,sv_P753
109,st,sv_P586
54,mfe-nsp,sv_P990
33,udp,sv_P697
92,ipv4,sv_P660
19,st,sv_P238
125,leaf-1,sv_P715
105,igmp,sv_P726
53,emcon,sv_P32
94,netblt,sv_P578
45,pup,sv_P143
100,emcon,sv_P701
16,leaf-2,sv_P439
11,mux,sv_P264
75,trunk-2,sv_P657
105,st,sv_P686
114,st,sv_P398
82,leaf-2,sv_P337
78,xnet,sv_P997
99,igp,sv_P712
50,trunk-1,sv_P15
86,dcn-meas,sv_P9
7,xnet,sv_P619
115,nvp-II,sv_P360
123,tcp,sv_P762
116,prm,sv_P679
115,leaf-2,sv_P390
0,udp,sv_P958
43,emcon,sv_P956
126,ggp,sv_P823
5,prm,sv_P911
136,leaf-1,sv_P220
147,mux,sv_P788
131,tcp,sv_P546
139,netblt,sv_P793
140,rdp,sv_P12
9,cbt,sv_P188
69,leaf-2,sv_P291
73,trunk-2,sv_P174
132,igp,sv_P342
47,hmp,sv_P167
106,bbn-rcc-mon,sv_P237
11,bbn-rcc-mon,sv_P905
49,ipv4,sv_P234
95,tcp,sv_P695
128,argus,sv_P675
63,mux,sv_P231
9,rdp,sv_P783
60,igmp,sv_P586
93,ggp,sv_P716
135,hmp,sv_P820
137,rdp,sv_P5
63,mfe-nsp,sv_P450
85,leaf-2,sv_P95
138,cbt,sv_P934
59,udp,sv_P48
133,chaos,sv_P281
23,udp,sv_P645
10,rdp,sv_P520
62,igmp,sv_P10
116,egp,sv_P331
11,leaf-2,sv_P929
14,ggp,sv_P955
27,igmp,sv_P321
142,bbn-rcc-mon,sv_P596
52,egp,sv_P67
114,leaf-2,sv_P552
113,nvp-II,sv_P45
136,trunk-2,sv_P175
91,xnet,sv_P170
91,dcn-meas,sv_P65
33,hmp,sv_P187
56,udp,sv_P496
146,emcon,sv_P373
109,tcp,sv_P804
67,udp,sv_P594
103,mfe-nsp,sv_P686
81,hmp,sv_P867
77,mux,sv_P44
51,iso-tp4,sv_P422
90,trunk-2,sv_P368
75,dcn-meas,sv_P171
122,irtp,sv_P930
147,udp,sv_P183
118,ipv4,sv_P425
21,dcn-meas,sv_P672
125,emcon,sv_P806
40,emcon,sv_P627
112,emcon,sv_P140
88,rdp,sv_P109
79,xnet,sv_P238
94,leaf-2,sv_P591
82,tcp,sv_P633
14,pup,sv_P711
117,irtp,sv_P398
33,leaf-2,sv_P50
131,iso-tp4,sv_P3
39,ggp,sv_P618
41,rdp,sv_P58
101,netblt,sv_P96
23,st,sv_P374
80,st,sv_P463
65,netblt,sv_P201
84,igp,sv_P686
8,leaf-1,sv_P943
20,udp,sv_P326
76,iso-tp4,sv_P227
108,nvp-II,sv_P765
10,egp,sv_P466
4,ggp,sv_P711
86,igp,sv_P982
62,icmp,sv_P183
17,mfe-nsp,sv_P492
103,netblt,sv_P319
0,igmp,sv_P676
24,tcp,sv_P626
87,icmp,sv_P952
120,ipv4,sv_P757
125,trunk-2,sv_P482
70,iso-tp4,sv_P737
82,mfe-nsp,sv_P155
15,iso-tp4,sv_P253
0,trunk-1,sv_P990
36,prm,sv_P643
135,udp,sv_P58
129,hmp,sv_P580
51,xns-idp,sv_P410
73,udp,sv_P688
6,prm,sv_P119
2,ggp,sv_P683
19,mfe-nsp,sv_P950
46,prm,sv_P114
32,xns-idp,sv_P285
102,tcp,sv_P630
23,pup,sv_P337
21,ipv4,sv_P833
13,st,sv_P135
41,ggp,sv_P21
109,argus,sv_P564
61,prm,sv_P183
130,igmp,sv_P669
86,tcp,sv_P44
86,cbt,sv_P916
31,trunk-1,sv_P372
89,leaf-2,sv_P492
113,netblt,sv_P570
66,hmp,sv_P917
35,icmp,sv_P327
96,irtp,sv_P734
61,cbt,sv_P735
76,udp,sv_P546
19,emcon,sv_P780
22,trunk-1,sv_P186
21,udp,sv_P93
54,xns-idp,sv_P199
136,udp,sv_P430
71,igp,sv_P776
45,netblt,sv_P36
15,rdp,sv_P411
2,bbn-rcc-mon,sv_P688
124,igp,sv_P125
113,emcon,sv_P488
130,udp,sv_P355
76,trunk-1,sv_P691
93,prm,sv_P696
41,chaos,sv_P460
94,cbt,sv_P929
106,irtp,sv_P690
57,irtp,sv_P809
30,argus,sv_P816
32,hmp,sv_P415
13,icmp,sv_P727
38,cbt,sv_P837
95,argus,sv_P412
92,mux,sv_P698
76,argus,sv_P979
89,iso-tp4,sv_P444
107,bbn-rcc-mon,sv_P759
128,chaos,sv_P615
58,st,sv_P483
42,igmp,sv_P264
61,mux,sv_P153
5,bbn-rcc-mon,sv_P835
33,chaos,sv_P418
147,iso-tp4,sv_P512
82,tcp,sv_P145
21,st,sv_P3
49,bbn-rcc-mon,sv_P711
38,tcp,sv_P926
88,igmp,sv_P280
42,igp,sv_P888
74,mux,sv_P930
106,udp,sv_P539
7,chaos,sv_P592
54,irtp,sv_P511
135,pup,sv_P78
61,tcp,sv_P142
72,nvp-II,sv_P597
78,rdp,sv_P396
45,mfe-nsp,sv_P536
94,st,sv_P629
0,argus,sv_P473
71,mux,sv_P709
88,hmp,sv_P486
42,hmp,sv_P19
1,chaos,sv_P100
132,igp,sv_P723
62,udp,sv_P407
90,cbt,sv_P903
54,trunk-2,sv_P877
69,st,sv_P286
69,tcp,sv_P484
7,emcon,sv_P881
9,pup,sv_P203
133,udp,sv_P766
12,rdp,sv_P883
48,ggp,sv_P752
46,igp,sv_P817
23,udp,sv_P303
136,igmp,sv_P806
28,prm,sv_P689
7,mfe-nsp,sv_P798
94,bbn-rcc-mon,sv_P147
62,hmp,sv_P540
102,emcon,sv_P767
108,cbt,sv_P554
106,pup,sv_P587
31,egp,sv_P229
61,cbt,sv_P271
112,pup,sv_P395
145,trunk-2,sv_P92
127,hmp,sv_P225
75,cbt,sv_P343
49,tcp,sv_P165
118,argus,sv_P155
98,emcon,sv_P643
11,hmp,sv_P152
133,dcn-meas,sv_P240
29,mfe-nsp,sv_P557
50,emcon,sv_P438
112,st,sv_P371
29,nvp-II,sv_P306
85,xnet,sv_P458
10,trunk-1,sv_P855
48,iso-tp4,sv_P843
119,netblt,sv_P416
28,leaf-2,sv_P67
11,igp,sv_P224
49,igp,sv_P360
60,mfe-nsp,sv_P779
112,argus,sv_P826
129,trunk-1,sv_P235
87,dcn-meas,sv_P933
101,tcp,sv_P694
115,chaos,sv_P791
80,trunk-1,sv_P825
78,udp,sv_P428
107,tcp,sv_P409
5,argus,sv_P884
80,leaf-2,sv_P927
105,rdp,sv_P479
56,st,sv_P442
128,iso-tp4,sv_P53
3,mux,sv_P641
140,leaf-2,sv_P178
45,ggp,sv_P91
8,igp,sv_P370
22,tcp,sv_P207
104,pup,sv_P756
36,leaf-1,sv_P42
130,leaf-1,sv_P790
46,ipv4,sv_P507
147,tcp,sv_P251
88,netblt,sv_P712
120,igp,sv_P591
34,irtp,sv_P569
132,irtp,sv_P421
15,pup,sv_P585
128,netblt,sv_P712
108,hmp,sv_P16
55,emcon,sv_P949
140,irtp,sv_P328
57,igmp,sv_P4
127,chaos,sv_P565
105,mfe-nsp,sv_P27
44,igp,sv_P834
67,icmp,sv_P216
61,igp,sv_P302
114,udp,sv_P372
79,ipv4,sv_P331
54,leaf-2,sv_P894
145,udp,sv_P522
22,irtp,sv_P321
37,hmp,sv_P937
77,ggp,sv_P423
7,prm,sv_P388
12,mux,sv_P661
81,egp,sv_P603
22,trunk-1,sv_P496
53,st,sv_P450
40,icmp,sv_P5
39,udp,sv_P324
34,tcp,sv_P695
39,igmp,sv_P423
1,egp,sv_P867
102,icmp,sv_P704
136,dcn-meas,sv_P376
108,udp,sv_P789
11,rdp,sv_P721
82,leaf-1,sv_P419
132,emcon,sv_P314
18,dcn-meas,sv_P3
118,xns-idp,sv_P441
127,iso-tp4,sv_P202
68,udp,sv_P800
94,pup,sv_P561
25,igp,sv_P955
121,igp,sv_P811
114,ggp,sv_P588
0,st,sv_P107
49,leaf-1,sv_P748
16,udp,sv_P300
128,mfe-nsp,sv_P691
29,leaf-1,sv_P765
139,trunk-2,sv_P284
25,cbt,sv_P417
78,emcon,sv_P237
63,trunk-1,sv_P621
29,egp,sv_P577
139,trunk-2,sv_P160
115,igp,sv_P93
72,nvp-II,sv_P51
87,leaf-2,sv_P149
115,ggp,sv_P682
124,dcn-meas,sv_P703
68,st,sv_P175
87,mux,sv_P195
121,dcn-meas,sv_P320
130,cbt,sv_P965
89,xnet,sv_P805
138,iso-tp4,sv_P191
78,argus,sv_P589
134,cbt,sv_P811
13,bbn-rcc-mon,sv_P178
119,trunk-2,sv_P555
37,trunk-1,sv_P739
42,rdp,sv_P542
38,chaos,sv_P230
46,ggp,sv_P740
136,ipv4,sv_P896
32,icmp,sv_P983
92,tcp,sv_P91
22,st,sv_P883
17,pup,sv_P749
81,netblt,sv_P13
15,cbt,sv_P771
92,udp,sv_P799
121,trunk-1,sv_P735
128,igp,sv_P816
65,trunk-2,sv_P753
1,leaf-2,sv_P284
99,udp,sv_P292
36,netblt,sv_P942
39,egp,sv_P439
84,netblt,sv_P610
86,argus,sv_P842
142,leaf-1,sv_P464
78,leaf-2,sv_P568
109,xnet,sv_P698
9,icmp,sv_P1000
29,leaf-1,sv_P57
31,igp,sv_P310
56,chaos,sv_P518
25,irtp,sv_P167
23,chaos,sv_P987
100,rdp,sv_P426
48,mfe-nsp,sv_P732
27,trunk-2,sv_P740
72,emcon,sv_P504
92,irtp,sv_P555
104,leaf-2,sv_P745
52,argus,sv_P258
57,leaf-1,sv_P389
47,mfe-nsp,sv_P671
58,ipv4,sv_P7
122,xns-idp,sv_P688
126,udp,sv_P914
45,irtp,sv_P772
146,pup,sv_P423
45,udp,sv_P613
88,mux,sv_P452
72,iso-tp4,sv_P325
68,igp,sv_P289
51,hmp,sv_P925
89,emcon,sv_P192
141,emcon,sv_P436
102,ipv4,sv_P200
42,leaf-1,sv_P262
103,ggp,sv_P270
125,argus,sv_P6
44,udp,sv_P366
17,hmp,sv_P910
147,udp,sv_P783
57,ggp,sv_P135
42,mux,sv_P749
78,irtp,sv_P639
23,chaos,sv_P636
145,netblt,sv_P808
66,icmp,sv_P244
61,mux,sv_P513
21,rdp,sv_P436
125,tcp,sv_P813
142,tcp,sv_P79
51,udp,sv_P392
76,leaf-2,sv_P83
51,icmp,sv_P718
41,igmp,sv_P576
96,bbn-rcc-mon,sv_P489
34,udp,sv_P537
15,nvp-II,sv_P154
51,bbn-rcc-mon,sv_P255
18,tcp,sv_P887
63,ipv4,sv_P127
19,cbt,sv_P748
29,tcp,sv_P620
132,dcn-meas,sv_P244
62,bbn-rcc-mon,sv_P31
47,mux,sv_P605
32,mux,sv_P554
58,irtp,sv_P179
139,prm,sv_P713
127,pup,sv_P203
131,chaos,sv_P645
66,mux,sv_P876
25,mfe-nsp,sv_P913
121,tcp,sv_P689
81,trunk-1,sv_P977
121,leaf-1,sv_P662
19,argus,sv_P988
80,iso-tp4,sv_P954
112,st,sv_P3
7,prm,sv_P673
139,igp,sv_P364
91,ggp,sv_P63
119,cbt,sv_P340
147,rdp,sv_P951
77,tcp,sv_P588
107,ggp,sv_P331
146,egp,sv_P841
61,mfe-nsp,sv_P507
146,icmp,sv_P534
33,icmp,sv_P845
132,trunk-2,sv_P957
85,mfe-nsp,sv_P840
76,ipv4,sv_P9
52,dcn-meas,sv_P530
92,xnet,sv_P469
58,cbt,sv_P287
75,nvp-II,sv_P529
67,argus,sv_P508
122,xnet,sv_P453
66,xnet,sv_P810
132,irtp,sv_P231
72,mux,sv_P530
69,ggp,sv_P744
140,udp,sv_P975
16,ipv4,sv_P774
58,mux,sv_P80
124,nvp-II,sv_P357
35,prm,sv_P470
135,st,sv_P237
73,xnet,sv_P905
79,emcon,sv_P355
105,mux,sv_P537
21,udp,sv_P324
58,udp,sv_P516
42,tcp,sv_P97
93,netblt,sv_P771
50,mfe-nsp,sv_P998
144,netblt,sv_P511
129,tcp,sv_P91
119,leaf-1,sv_P411
142,netblt,sv_P496
146,rdp,sv_P618
39,pup,sv_P105
111,irtp,sv_P229
122,hmp,sv_P359
130,iso-tp4,sv_P856
66,udp,sv_P217
58,udp,sv_P575
6,udp,sv_P528
89,emcon,sv_P577
8,ipv4,sv_P221
49,pup,sv_P378
93,ipv4,sv_P877
36,tcp,sv_P177
46,tcp,sv_P708
84,tcp,sv_P971
136,ggp,sv_P460
99,netblt,sv_P198
31,argus,sv_P374
29,egp,sv_P242
93,cbt,sv_P550
101,trunk-1,sv_P768
130,dcn-meas,sv_P638
84,mfe-nsp,sv_P361
61,icmp,sv_P420
27,ipv4,sv_P574
144,st,sv_P736
80,pup,sv_P186
16,egp,sv_P126
65,prm,sv_P256
130,irtp,sv_P786
78,trunk-2,sv_P587
21,nvp-II,sv_P813
54,argus,sv_P136
140,igp,sv_P537
105,nvp-II,sv_P136
51,dcn-meas,sv_P761
145,pup,sv_P596
139,igmp,sv_P513
44,leaf-2,sv_P117
38,prm,sv_P161
8,iso-tp4,sv_P773
147,udp,sv_P37
113,leaf-2,sv_P858
20,cbt,sv_P624
104,iso-tp4,sv_P498
